response_id,date,age_group,gender,purchase_frequency,flavor_satisfaction,sweetness_satisfaction,price_satisfaction,packaging_satisfaction,overall_satisfaction,repurchase_intent,recommend_score,open_feedback
R038,2026-04-22,23-29,女,幾乎不買,5,4,4,4,4,會,8,價格略高，若有優惠會回購
R039,2026-04-19,23-29,女,每月2-3次,3,4,4,2,3,可能會,6,希望推出無糖版本
R040,2026-04-26,23-29,男,每月2-3次,5,4,5,5,5,會,10,水果香氣不錯，冰飲更好喝
R041,2026-04-28,23-29,男,每週1-2次,5,5,4,5,5,會,10,口味清爽，夏天會想再買
R042,2026-04-21,19-22,女,每月2-3次,4,3,3,4,4,會,9,包裝設計有質感但價格可再親民
R043,2026-04-27,23-29,女,每月2-3次,4,5,4,5,4,會,9,香氣不錯但後味稍甜
R044,2026-04-23,19-22,男,每週1-2次,5,5,5,5,5,會,10,喝起來順口，適合日常搭餐
R045,2026-04-19,23-29,男,每月2-3次,4,3,3,4,4,會,7,希望推出無糖版本
R046,2026-04-15,19-22,女,每週1-2次,3,4,2,3,3,可能會,5,價格略高，若有優惠會回購
R047,2026-04-28,19-22,女,每週3次以上,5,4,5,5,5,會,10,整體不錯，但希望容量再大一點
R048,2026-04-13,19-22,女,每月2-3次,5,5,4,5,5,會,10,口味清爽，夏天會想再買
R049,2026-04-10,19-22,男,每月2-3次,5,4,5,3,4,會,9,會推薦給朋友嘗鮮
R050,2026-04-22,23-29,女,每週1-2次,5,4,5,5,5,會,10,喝起來順口，適合日常搭餐
R051,2026-04-11,19-22,男,每週1-2次,5,5,3,5,4,會,7,口味清爽，夏天會想再買
R052,2026-04-09,40+,女,每月2-3次,4,4,4,5,4,會,7,包裝設計有質感但價格可再親民
R053,2026-04-23,19-22,女,每週3次以上,5,5,5,5,5,會,9,水果香氣不錯，冰飲更好喝
R054,2026-04-25,19-22,女,每週1-2次,5,5,3,3,4,會,8,水果香氣不錯，冰飲更好喝
R055,2026-04-26,30-39,男,每週3次以上,4,5,5,5,5,會,10,香氣不錯但後味稍甜
R056,2026-04-23,23-29,女,每週1-2次,5,4,4,4,4,會,9,香氣不錯但後味稍甜
R057,2026-04-21,40+,女,每月2-3次,5,5,4,4,4,會,8,甜度剛好，接受度高
R058,2026-04-23,19-22,女,每月2-3次,5,4,2,5,4,會,8,喝起來順口，適合日常搭餐
R059,2026-04-21,19-22,男,每週1-2次,5,4,5,5,5,會,9,價格略高，若有優惠會回購
R060,2026-04-21,23-29,男,每月2-3次,5,5,2,3,4,會,8,價格略高，若有優惠會回購
R061,2026-04-14,23-29,女,每週1-2次,4,5,5,4,4,會,8,水果香氣不錯，冰飲更好喝
R062,2026-04-10,19-22,女,每月2-3次,4,4,3,5,4,會,8,香氣不錯但後味稍甜
R063,2026-04-20,23-29,其他,每月2-3次,4,4,4,3,4,會,8,口味清爽，夏天會想再買
R064,2026-04-13,40+,女,每月2-3次,4,2,1,3,2,不會,5,喝起來順口，適合日常搭餐
R065,2026-04-10,19-22,男,每週1-2次,4,4,5,5,4,會,7,口味清爽，夏天會想再買
R066,2026-04-12,19-22,男,幾乎不買,3,2,4,4,3,可能會,6,價格略高，若有優惠會回購
R067,2026-04-08,23-29,女,每月2-3次,5,4,5,4,4,會,8,希望推出無糖版本
R068,2026-04-19,19-22,女,每週1-2次,4,3,4,5,4,會,9,口味清爽，夏天會想再買
R069,2026-04-25,19-22,男,每月2-3次,4,4,5,4,4,會,9,香氣不錯但後味稍甜
R070,2026-04-25,19-22,女,每週1-2次,2,3,3,3,3,可能會,7,喝起來順口，適合日常搭餐
R071,2026-04-18,23-29,男,幾乎不買,5,5,2,3,4,會,9,會推薦給朋友嘗鮮
R072,2026-04-13,19-22,女,幾乎不買,4,5,5,4,4,會,8,香氣不錯但後味稍甜
R073,2026-04-18,23-29,男,每週3次以上,5,3,4,4,4,會,9,整體不錯，但希望容量再大一點
R074,2026-04-26,23-29,男,每週1-2次,4,5,5,3,4,會,9,整體不錯，但希望容量再大一點
R075,2026-04-12,19-22,女,每月2-3次,4,5,5,4,4,會,8,整體不錯，但希望容量再大一點
R076,2026-04-25,23-29,女,每週1-2次,3,3,3,4,3,可能會,7,口味清爽，夏天會想再買
R077,2026-04-14,40+,男,每週1-2次,2,4,1,3,2,不會,3,甜度剛好，接受度高
R078,2026-04-14,23-29,女,幾乎不買,4,5,4,5,4,會,8,香氣不錯但後味稍甜
R079,2026-04-12,19-22,女,每週1-2次,4,3,4,5,4,會,8,水果香氣不錯，冰飲更好喝
R080,2026-04-18,30-39,女,每週1-2次,5,4,4,5,4,會,8,香氣不錯但後味稍甜
R081,2026-04-18,30-39,女,幾乎不買,5,5,4,5,5,會,9,喝起來順口，適合日常搭餐
R082,2026-04-25,23-29,男,每週1-2次,4,5,2,4,4,會,8,喝起來順口，適合日常搭餐
R083,2026-04-09,19-22,男,每週3次以上,3,2,3,3,3,可能會,6,價格略高，若有優惠會回購
R084,2026-04-21,23-29,男,每月2-3次,5,5,5,4,5,會,9,水果香氣不錯，冰飲更好喝
R085,2026-04-27,40+,男,每週1-2次,2,4,2,3,3,可能會,5,整體不錯，但希望容量再大一點
R086,2026-04-09,30-39,女,每週1-2次,4,3,2,3,3,可能會,5,價格略高，若有優惠會回購
R087,2026-04-14,23-29,女,幾乎不買,4,3,3,3,3,可能會,5,水果香氣不錯，冰飲更好喝
R088,2026-04-22,23-29,女,每週1-2次,4,5,4,5,4,會,8,價格略高，若有優惠會回購
R089,2026-04-28,30-39,女,每週1-2次,4,4,2,5,4,會,8,會推薦給朋友嘗鮮
R090,2026-04-08,30-39,男,幾乎不買,5,5,4,5,5,會,10,希望推出無糖版本
R091,2026-04-27,23-29,男,每月2-3次,4,3,2,4,3,可能會,7,會推薦給朋友嘗鮮
R092,2026-04-12,19-22,女,幾乎不買,5,4,3,4,4,會,8,香氣不錯但後味稍甜
R093,2026-04-26,40+,男,每週1-2次,5,5,5,4,5,會,10,包裝設計有質感但價格可再親民
R094,2026-04-20,30-39,女,每月2-3次,5,4,2,5,4,會,7,香氣不錯但後味稍甜
R095,2026-04-28,19-22,女,每月2-3次,4,3,1,3,3,可能會,7,會推薦給朋友嘗鮮
R096,2026-04-24,30-39,男,幾乎不買,2,4,3,4,3,可能會,5,口味清爽，夏天會想再買
R097,2026-04-10,40+,女,每週1-2次,3,4,3,3,3,可能會,7,包裝設計有質感但價格可再親民
R098,2026-04-14,30-39,男,每月2-3次,4,3,4,4,4,會,9,希望推出無糖版本
R099,2026-04-25,30-39,女,每月2-3次,4,3,4,4,4,會,8,喝起來順口，適合日常搭餐
R100,2026-04-26,19-22,女,每月2-3次,4,5,4,5,4,會,8,香氣不錯但後味稍甜
